,0
2020-08-01,85899217
2020-09-01,55545556
2020-10-01,44982131
2020-11-01,69866626
2020-12-01,27080760
2021-01-01,31369457
2021-02-01,28969436
2021-03-01,29407919
2021-04-01,33595726
2021-05-01,43541814
2021-06-01,32080426
2021-07-01,36684582
2021-08-01,21395159
2021-09-01,29442624
2021-10-01,20122803
2021-11-01,13007282
2021-12-01,13765145
2022-01-01,10376412
2022-02-01,11062793
2022-03-01,13646193
2022-04-01,12582621
2022-05-01,12740100
2022-06-01,15573937
2022-07-01,16113430
2022-08-01,84507665
2022-09-01,35455355
2022-10-01,13877084
2022-11-01,11357605
2022-12-01,12316862
2023-01-01,12857482
2023-02-01,10883801
2023-03-01,37972623
2023-04-01,15377011
2023-05-01,12705153
2023-06-01,22580326
2023-07-01,34784792
2023-08-01,29437344
2023-09-01,13605978
2023-10-01,18428772
2023-11-01,984734
