,0
2020-08-01,441219
2020-09-01,319482
2020-10-01,446273
2020-11-01,84228
2020-12-01,750303
2021-01-01,466238
2021-02-01,93787
2021-03-01,251050
2021-04-01,347263
2021-06-01,168974
2021-07-01,85308
2021-08-01,117385
2021-09-01,112863
2021-10-01,140388
2021-11-01,2302223
2021-12-01,189485
2022-01-01,62158
2022-03-01,449346
2022-04-01,58220
2022-06-01,96538
2022-07-01,67775
2022-08-01,253345
2022-09-01,88836
2022-10-01,51519
2022-11-01,63577
2022-12-01,209699
2023-01-01,198623
2023-03-01,79667
2023-04-01,3091443
2023-05-01,367053
2023-06-01,3201071
2023-07-01,76127
2023-08-01,15615438
2023-09-01,3930486
2023-10-01,5783970
2023-11-01,92332
