,0
2020-08-01,18750857
2020-09-01,9900209
2020-10-01,7994639
2020-11-01,9124475
2020-12-01,7635944
2021-01-01,8091825
2021-02-01,5981226
2021-03-01,7075987
2021-04-01,6682574
2021-05-01,7282441
2021-06-01,8304275
2021-07-01,11005293
2021-08-01,4221936
2021-09-01,4419983
2021-10-01,5624654
2021-11-01,3833152
2021-12-01,1746315
2022-01-01,0
2022-02-01,0
2022-03-01,0
2022-04-01,0
2022-05-01,0
2022-06-01,0
2022-07-01,0
2022-08-01,0
2022-09-01,0
2022-10-01,0
2022-11-01,0
2022-12-01,0
2023-01-01,0
2023-02-01,0
2023-03-01,0
2023-04-01,0
2023-05-01,0
2023-06-01,0
2023-07-01,0
2023-08-01,0
2023-09-01,0
2023-10-01,0
2023-11-01,0
