,0
2020-08-01,465841810
2020-09-01,411865701
2020-10-01,431712555
2020-11-01,458740609
2020-12-01,325327432
2021-01-01,371852946
2021-02-01,328304724
2021-03-01,341425614
2021-04-01,404623445
2021-05-01,388732242
2021-06-01,464689830
2021-07-01,558402815
2021-08-01,266109036
2021-09-01,318085128
2021-10-01,411555973
2021-11-01,262993251
2021-12-01,409297203
2022-01-01,265114479
2022-02-01,205703411
2022-03-01,255293377
2022-04-01,205314341
2022-05-01,197260000
2022-06-01,225780532
2022-07-01,204507077
2022-08-01,418621434
2022-09-01,316989750
2022-10-01,197169468
2022-11-01,176138856
2022-12-01,195243782
2023-01-01,181991628
2023-02-01,178745947
2023-03-01,384219804
2023-04-01,290118159
2023-05-01,206357797
2023-06-01,358072210
2023-07-01,373790048
2023-08-01,623439183
2023-09-01,293330755
2023-10-01,368390229
2023-11-01,16884069
