,0
2020-08-01,5444980
2020-09-01,4429345
2020-10-01,6119140
2020-11-01,1648894
2020-12-01,4407552
2021-01-01,6573167
2021-02-01,1266877
2021-03-01,3970097
2021-04-01,5287720
2021-06-01,2905040
2021-07-01,1704954
2021-08-01,2660236
2021-09-01,2319194
2021-10-01,2713342
2021-11-01,45636862
2021-12-01,4560471
2022-01-01,1664152
2022-03-01,10855318
2022-04-01,1382959
2022-06-01,2009873
2022-07-01,1514024
2022-08-01,4351954
2022-09-01,2906377
2022-10-01,1407784
2022-11-01,1759129
2022-12-01,5864059
2023-01-01,4490470
2023-03-01,2299028
2023-04-01,103478160
2023-05-01,13586845
2023-06-01,118704973
2023-07-01,2473443
2023-08-01,435511814
2023-09-01,143446576
2023-10-01,198405059
2023-11-01,3579020
