,0
2020-08-01,6928307725
2020-09-01,7299681722
2020-10-01,7663006062
2020-11-01,7930604518
2020-12-01,6411115273
2021-01-01,6446096816
2021-02-01,6517696456
2021-03-01,6269169724
2021-04-01,7915649244
2021-05-01,8190546659
2021-06-01,8938621887
2021-07-01,11207519922
2021-08-01,4697532992
2021-09-01,4872062111
2021-10-01,7202492929
2021-11-01,4369551362
2021-12-01,6640427150
2022-01-01,4379009414
2022-02-01,4721044646
2022-03-01,5441245671
2022-04-01,4708135432
2022-05-01,4338747012
2022-06-01,4803598354
2022-07-01,4041362927
2022-08-01,7869151087
2022-09-01,6260087726
2022-10-01,4177589379
2022-11-01,3925804928
2022-12-01,4616821270
2023-01-01,4094725244
2023-02-01,5175990156
2023-03-01,7189547031
2023-04-01,7560354529
2023-05-01,5007709977
2023-06-01,9044287544
2023-07-01,7860074270
2023-08-01,15116690332
2023-09-01,7521717905
2023-10-01,8992812563
2023-11-01,296803866
