,0
2020-08-01,67608372
2020-09-01,50222345
2020-10-01,64680489
2020-11-01,23394203
2020-12-01,48050205
2021-01-01,56207187
2021-02-01,11038284
2021-03-01,44009282
2021-04-01,75122524
2021-06-01,36781252
2021-07-01,24204649
2021-08-01,32362087
2021-09-01,26373586
2021-10-01,25239347
2021-11-01,530587776
2021-12-01,56395256
2022-01-01,24032368
2022-03-01,171875639
2022-04-01,15751070
2022-06-01,21869315
2022-07-01,22585183
2022-08-01,62298578
2022-09-01,42278248
2022-10-01,15769314
2022-11-01,31860754
2022-12-01,93958195
2023-01-01,45325786
2023-03-01,37424298
2023-04-01,2855281948
2023-05-01,281641679
2023-06-01,3422274518
2023-07-01,33142241
2023-08-01,10721536096
2023-09-01,3826316189
2023-10-01,5172512921
2023-11-01,33535001
